submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
04/09/2020,AK,235,NA,NA,9,NA,9,NA,NA,1,NA,04/09/2020 12:00:00 AM,N/A,N/A
08/13/2020,KS,32547,31728,819,0,0,395,NA,NA,0,0,08/14/2020 02:30:03 PM,Agree,N/A
04/23/2021,MP,162,162,0,0,0,2,2,0,0,0,04/24/2021 02:22:34 PM,Agree,Agree
12/20/2020,UT,250964,250964,0,1994,0,1155,1135,20,7,0,12/21/2020 02:39:53 PM,Agree,Agree
04/17/2020,PW,0,NA,NA,0,NA,0,NA,NA,0,NA,04/17/2020 04:22:39 PM,NA,NA
03/29/2020,PW,0,NA,NA,0,NA,0,NA,NA,0,NA,03/28/2020 04:22:39 PM,NA,NA
12/26/2020,MA,349602,335731,13871,7677,253,12254,11994,260,62,1,12/28/2020 12:00:00 AM,Agree,Agree
09/26/2020,IA,85588,NA,NA,903,4,1311,NA,NA,4,0,09/27/2020 01:39:49 PM,Not agree,Not agree
05/08/2021,FL,2224148,NA,NA,3908,998,35700,NA,NA,65,4,05/09/2021 01:43:24 PM,Not agree,Not agree
04/30/2021,WV,153128,120411,32717,395,70,2679,NA,NA,5,0,05/01/2021 01:43:22 PM,Agree,Not agree
02/12/2021,FL,1781450,NA,NA,7437,2169,28565,NA,NA,183,19,02/13/2021 02:50:08 PM,Not agree,Not agree
12/24/2020,TX,1653522,NA,NA,17064,3764,29462,NA,NA,236,0,12/26/2020 12:00:00 AM,Not agree,Not agree
02/13/2021,CO,412983,391257,21726,1569,465,5814,5094,720,24,1,02/14/2021 02:51:00 PM,Agree,Agree
07/22/2020,CO,41698,38562,3136,639,24,1771,1435,336,8,3,07/23/2020 02:48:19 PM,Agree,Agree
09/01/2020,HI,8961,NA,NA,339,0,74,NA,NA,4,0,09/02/2020 09:49:48 AM,Not agree,Not agree
11/07/2020,MA,169576,164936,4640,2302,102,10181,9955,226,27,1,11/09/2020 12:00:00 AM,Agree,Agree
10/09/2020,AR,91312,NA,NA,1167,187,1529,NA,NA,22,-4,10/10/2020 01:30:17 PM,Not agree,Not agree
07/03/2020,MA,104228,104228,NA,212,NA,8186,7986,200,17,0,07/05/2020 12:00:00 AM,Agree,Agree
06/11/2020,NY,172375,NA,NA,337,0,8438,NA,NA,22,0,06/12/2020 02:17:59 PM,Not agree,Not agree
01/05/2021,NM,148499,NA,NA,1184,0,3157,NA,NA,15,0,01/07/2021 12:00:00 AM,N/A,Not agree
07/16/2020,MP,37,37,0,1,0,2,2,0,0,0,07/17/2020 02:31:01 PM,Agree,Agree
02/23/2021,PR,99519,91834,7685,43,25,2007,1706,301,21,7,02/24/2021 02:56:12 PM,Agree,Agree
05/01/2020,OK,4554,NA,NA,110,0,248,248,0,8,0,05/02/2020 12:00:00 AM,Not agree,Agree
10/16/2020,MP,86,86,0,6,0,2,2,0,0,0,10/17/2020 02:09:18 PM,Agree,Agree
05/08/2020,NYC,186963,182683,4280,1426,28,20215,15943,4272,179,28,05/06/2020 12:00:00 AM,Agree,Agree
01/24/2020,IA,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Not agree,Not agree
02/14/2021,OH,939350,810922,128428,1809,476,16346,13904,2442,6,0,02/15/2021 02:46:24 PM,Agree,Agree
03/17/2020,TX,63,NA,NA,7,0,4,NA,NA,2,NA,03/19/2020 12:00:00 AM,Not agree,Not agree
07/07/2020,MA,104799,104799,NA,140,NA,8268,8066,202,20,1,07/09/2020 12:00:00 AM,Agree,Agree
10/25/2020,MA,150565,147120,3445,1077,-20,9910,9687,223,17,0,10/27/2020 12:00:00 AM,Agree,Agree
11/25/2020,NY,313075,NA,NA,4349,0,9780,NA,NA,33,0,11/26/2020 02:44:21 PM,Not agree,Not agree
08/11/2020,PR,24074,10169,13905,671,107,295,174,121,8,1,08/12/2020 01:50:14 PM,Agree,Agree
03/12/2021,WV,134842,107579,27263,346,133,2511,NA,NA,8,62,03/13/2021 03:19:19 PM,Agree,Not agree
10/23/2020,MP,88,88,0,0,0,2,2,0,0,0,10/24/2020 01:26:44 PM,Agree,Agree
07/08/2020,RMI,0,0,0,0,0,0,0,0,0,0,07/09/2020 03:14:15 PM,Agree,Agree
04/29/2020,WV,1109,1109,0,14,0,40,NA,NA,2,0,04/30/2020 04:07:01 PM,Agree,Not agree
